226,5.135.167.134-8333-1037,138,138,138
227,176.9.37.153-8333-1037,133,133,133
228,194.15.231.236-8333-1037,-1,-1,-1,-1,-1
229,104.175.195.8-8333-1037,-1,-1,-1
230,5.61.48.35-8333-1037,-1,-1,-1
231,76.89.175.147-8333-1033,88,44,88,-1
232,76.93.138.4-8333-1037,120,120,120
233,81.187.244.47-8333-1037,-1,-1,-1,-1
234,192.227.80.83-8333-1033,116,113,116,110
235,193.29.187.93-8333-1037,-1,-1,-1
236,167.71.247.243-8333-1036,109,54,109,-1
237,94.23.21.80-8333-1037,79,79,79
238,93.179.197.152-8333-13,95,31,95,-1,-1
239,108.60.158.107-8333-1037,-1,-1,-1
240,129.13.189.207-8333-1036,130,64,130,-1
241,205.134.172.4-8333-1,250,250,250,249
242,144.202.38.102-8333-1036,128,122,117,128
243,199.188.204.34-8333-13,-1,-1,-1
244,167.114.35.12-8333-1037,149,149,149
245,51.158.27.215-8333-1033,120,120,120
246,47.74.191.34-8333-13,144,72,144,-1
247,114.23.122.174-8333-1033,125,125,125
248,149.202.200.42-8333-1037,-1,-1,-1,-1
249,213.10.100.182-8333-1033,-1,-1,-1,-1
250,128.197.128.229-8333-1037,77,77,77
251,86.91.157.130-8333-1033,-1,-1,-1,-1
252,109.205.109.56-8333-1036,69,69,69
253,73.60.217.192-8333-1033,108,54,108,-1
254,103.22.144.67-8333-1033,-1,-1,-1,-1,-1
255,47.105.42.61-8332-13,73,73,73
256,212.89.173.216-8333-1033,116,51,116,-1,-1,90
257,85.214.197.4-8333-1037,131,131,131
258,52.197.59.102-8333-13,-1,-1,-1,-1
259,167.71.185.96-8333-1036,166,94,166,117,-1
260,80.100.206.174-8333-1033,113,56,113,-1
261,59.148.22.171-8777-13,105,100,105,94
262,76.88.117.240-8333-1033,-1,-1,-1,-1
263,46.229.165.138-8333-1037,-1,-1,-1
264,82.161.200.117-8334-1033,60,60,60
265,45.76.142.233-8333-1036,118,118,118
266,176.9.65.41-9001-1037,55,27,55,-1
267,70.64.48.41-8333-1036,82,40,82,-1
268,193.194.163.53-8333-1037,113,113,113
269,217.251.139.131-8333-13,58,58,58
270,51.15.80.200-8333-1033,104,52,104,-1
271,116.203.182.37-8333-1037,247,234,221,247
272,103.29.69.57-8333-1037,118,118,118
273,13.250.51.173-8333-1037,135,135,135
274,3.230.76.217-8333-1037,-1,-1,-1
275,164.68.106.226-8333-1037,-1,-1,-1
276,136.34.203.180-8333-1033,95,84,95,74
277,207.180.203.122-8333-1037,115,115,115
278,95.216.226.201-8333-1033,105,52,105,-1
279,99.231.145.194-8333-13,-1,-1,-1
280,3.16.68.221-8333-1037,575,575,575
281,135.180.2.78-8333-1037,74,74,74
282,204.132.112.181-8333-1037,121,121,121
283,121.254.175.38-8333-1037,-1,-1,-1,-1
284,35.199.30.45-8333-1037,110,70,110,101,-1
285,86.144.150.136-8333-1033,51,51,51
286,202.186.142.88-8333-1037,-1,-1,-1
287,89.230.96.42-8333-1037,121,121,121
288,45.76.55.76-8333-1036,136,68,136,-1
289,96.48.243.148-8333-1037,115,57,115,-1
290,35.187.126.191-8333-1037,131,131,131
291,82.221.128.81-8333-13,-1,-1,-1,-1,-1
292,148.251.89.174-8333-1037,124,124,124
293,5.189.153.179-8333-1033,149,142,134,149
294,104.130.172.112-8333-1,55,55,55
295,208.66.71.22-8333-1037,69,64,60,69
296,52.15.65.61-8333-1037,-1,-1,-1
297,89.212.91.219-8333-1037,-1,-1,-1
298,18.182.44.36-8333-1037,-1,-1,-1,-1
299,173.212.220.9-8333-1033,-1,-1,-1,-1,-1
300,47.244.50.245-8333-5,80,79,80,78
301,185.141.207.141-8333-1037,212,212,212
302,208.68.38.182-8333-1036,118,112,118,106
303,31.48.128.129-8333-1037,78,78,78
304,52.88.77.4-8333-1037,284,274,264,284
305,54.65.201.164-8333-1037,-1,-1,-1
306,40.121.70.33-8333-1037,123,123,123
307,38.87.54.163-8333-1037,-1,-1,-1,-1,-1
308,47.108.30.126-8333-1037,107,107,107
309,178.63.86.20-8333-1037,175,175,175
310,195.154.171.222-8333-13,-1,-1,-1
311,199.188.85.205-8333-1037,-1,-1,-1
312,3.81.111.242-8333-1037,114,114,114
313,24.222.131.233-8333-1033,103,51,103,-1
314,37.139.14.228-8333-1036,101,50,101,-1
315,68.183.33.185-8333-1036,130,64,130,-1
316,185.83.214.123-8333-1033,108,108,108
317,78.54.43.49-8333-1037,35,35,35
318,73.76.228.164-8333-1037,-1,-1,-1
319,82.130.102.15-8333-1033,85,76,85,66
320,46.251.52.12-8333-1033,97,97,97
321,46.28.207.31-8333-5,118,39,118,-1,-1
322,82.176.218.12-8333-1037,-1,-1,-1
323,178.143.50.8-8333-1033,118,58,118,-1
324,45.76.249.22-8333-1036,130,127,124,130
325,51.68.36.57-8333-1037,163,163,163
326,188.40.60.5-8333-13,-1,-1,-1,-1
327,95.217.86.89-8333-1037,110,110,110
328,91.65.63.42-8333-1033,39,19,-1,39
329,18.185.58.178-8333-1037,-1,-1,-1
330,37.221.198.57-8333-1037,-1,-1,-1
331,81.95.1.104-8333-1036,73,73,73
332,157.245.145.250-8333-1037,-1,-1,-1
333,178.203.176.68-8333-1033,103,92,103,80
334,116.62.64.237-8333-13,-1,-1,-1
335,158.69.24.50-8333-1033,81,75,73,81,72
336,193.70.78.148-8333-1037,114,107,114,100
337,158.181.226.33-8333-1033,92,46,92,-1
338,155.138.235.87-8333-1036,122,60,122,-1
339,163.172.29.236-8333-1037,-1,-1,-1,-1
340,134.209.127.155-8333-1033,131,43,131,-1,-1
341,78.45.46.181-8333-1033,135,44,135,-1,-1
342,37.194.10.30-8333-1036,70,68,70,65
343,85.145.238.93-8333-1033,122,60,122,-1
344,80.229.147.76-8333-1037,119,119,119
345,35.211.2.103-8333-1033,74,74,74
346,207.246.68.82-8333-1036,111,111,111
347,54.183.155.178-8333-12,63,63,63
348,151.80.245.160-8333-1037,-1,-1,-1,-1
349,73.170.134.121-8333-1037,-1,-1,-1,-1
350,195.214.214.253-8333-1037,-1,-1,-1
351,188.230.168.114-8333-1033,109,109,109
352,73.81.24.6-8333-1037,0,0,0
353,75.188.38.166-8333-1033,116,38,116,-1,-1
354,140.82.34.148-8333-1036,142,70,142,-1
355,176.9.122.3-8433-1037,92,46,92,-1
356,185.132.179.170-8333-1036,101,50,101,-1
357,24.150.22.3-8333-1037,79,79,79
358,159.65.2.147-18334-1037,74,74,74
359,34.220.22.232-8333-1036,145,136,128,145
360,178.33.224.195-8333-13,-1,-1,-1,-1
361,46.101.112.24-8333-77,261,261,261
362,85.10.196.72-8333-13,-1,-1,-1
363,62.107.200.30-8333-1037,-1,-1,-1,-1
364,68.183.155.14-8333-1037,-1,-1,-1
365,88.99.216.194-8333-1037,-1,-1,-1,-1
366,207.154.230.25-18333-1033,58,28,58,-1
367,18.138.253.17-8333-1033,101,101,101
368,128.199.178.41-8333-1037,-1,-1,-1,-1
369,52.163.63.49-8333-1033,134,124,113,134
370,5.39.90.110-8333-13,-1,-1,-1
371,176.9.191.206-8333-1032,73,73,73
372,148.66.50.82-8335-1037,72,72,72
373,45.76.128.43-8333-1036,99,49,99,-1
374,91.210.24.30-8333-1033,107,104,107,100
375,37.59.47.27-8333-1037,-1,-1,-1
376,198.100.146.191-8333-1037,-1,-1,-1
377,207.246.106.150-8333-1036,137,137,137
378,149.202.177.211-8333-1037,-1,-1,-1,-1
379,81.166.226.255-8333-1037,-1,-1,-1
380,93.158.216.105-8333-1037,-1,-1,-1
381,37.97.191.18-8333-1037,-1,-1,-1
382,88.198.54.148-8333-1037,-1,-1,-1
383,185.157.160.220-8333-1037,-1,-1,-1
384,74.110.110.234-8333-1037,-1,-1,-1,-1
385,91.152.122.32-8333-1033,97,97,97
386,5.9.87.242-8333-13,128,122,128,117
387,46.229.165.146-8333-1037,-1,-1,-1
388,88.19.48.224-8333-1033,95,95,95
389,167.179.81.75-8333-1036,125,114,102,125
390,82.44.215.236-8333-1037,133,133,133
391,89.238.77.69-8333-1037,-1,-1,-1,-1
392,88.98.88.158-8333-1037,-1,-1,-1,-1
393,69.132.254.27-8333-1033,-1,-1,-1,-1
394,172.90.120.137-8333-1033,-1,-1,-1,-1
395,73.217.79.105-8333-1033,-1,-1,-1,-1
396,52.204.116.115-8333-1033,-1,-1,-1
397,66.191.142.68-8333-1037,-1,-1,-1
398,8.30.182.7-8333-1037,-1,-1,-1,-1
399,111.68.15.226-8333-1037,-1,-1,-1,-1
400,89.103.182.81-8333-1033,-1,-1,-1
401,167.99.133.10-8333-1037,-1,-1,-1,-1
